AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
             438           33                     1
              44           33.5892              185
              45           50.5469              128
              46           84.4825              143
             468           90                     1
              47           55.6772              127
              48           38.2774              137
              49           37.3411              129
             498           64                     1
               5           21.8883           626692
              50           34.8857              105
             506           41                     1
              51           58.1892               74
             515          133                     1
              52           43.6875               64
              53           48.7091               55
              54           51.4909               55
             540           79                     1
             549           28                     1
              55           34.2549               51
              56           79.3333               54
              57           69.1176               34
              58           55.7647               51
              59           61.9655               29
               6           21.9746           472032
              60          393.1                  30
              61           71.9429               35
             617           28                     1
              62           54.875                32
              63           86.0645               31
              64           85.5625               32
             642           15                     1
              65           99.2593               27
             656           13                     1
              66           46.8125               16
              67           41.7857               28
              68           31.129                31
              69           71.1739               23
             696           67                     1
             697           22                     1
               7           22.4187           318797
              70           24.381                21
             703           48                     1
              71           32.25                 12
              72           66.4444               18
             728          844                     1
              73           39.1667               18
             738            7                     1
              74           32.1875               16
              75           49.4762               21
              76           47.5333               15
              77           36.1818               11
              78          333.545                11
              79           38.3077               13
               8           22.4756           222214
              80           39.7273               11
              81           43.1667               12
             816            3                     1
              82           72.1                  10
              83           18.7778                9
              84          176.7                  10
              85           21.9091               11
              86           74.9167               12
             867            9                     1
              87           49.2222                9
              88           25.3636               11
              89           58                     9
               9           23.1042           151205
              90           31.4444                9
              91           31.2                   5
              92           23.4                   5
              93           68.8889                9
              94          119.267                15
              95           57.3                  10
              96          455.7                  10
              97          121.462                13
              98           89.6667                6
              99          174.8                  15

AVERAGE CITATIONS PER NO. OF KEYWORDS
  No. of Keywords    Ave. Citations    No. of Papers
-----------------  ----------------  ---------------
                1           17.4565           283648
               10           46.015           1326864
                2           20.6891           249677
                3           23.7283           228743
                4           25.5849           212968
                5           26.8778           200895
                6           28.8153           186936
                7           30.7334           175649
                8           31.4849           162030
                9           32.191            148624

AVERAGE CITATIONS PER JOURNAL
Journal                                                                                                                                                                                              Ave. Citations    No. of Papers
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  ---------------
YEAR IN COGNITIVE NEUROSCIENCE 2008                                                                                                                                                                    1037.73                    11
CA-A CANCER JOURNAL FOR CLINICIANS                                                                                                                                                                      353.711                 1937
BIOLOGY OF DISADVANTAGE: SOCIOECONOMIC STATUS AND HEALTH                                                                                                                                                326.818                   11
YEAR IN COGNITIVE NEUROSCIENCE 2009                                                                                                                                                                     304.273                   11
YEAR IN COGNITIVE NEUROSCIENCE 2010                                                                                                                                                                     230.917                   12
STRATEGIC MANAGEMENT JOURNAL                                                                                                                                                                            211.116                 3281
ADDICTION REVIEWS 2008                                                                                                                                                                                  175.643                   14
INCREDIBLE ANAEROBES: FROM PHYSIOLOGY TO GENOMICS TO FUELS                                                                                                                                              174.864                   22
ECOLOGICAL MONOGRAPHS                                                                                                                                                                                   172.289                 1766
YEAR IN IMMUNOLOGY 2008                                                                                                                                                                                 169.786                   14
MOLECULAR AND BIOPHYSICAL MECHANISMS OF AROUSAL, ALERTNESS, AND ATTENTION                                                                                                                               162.607                   28
YEAR IN ECOLOGY AND CONSERVATION BIOLOGY 2008                                                                                                                                                           152                        6
MITOCHONDRIA AND OXIDATIVE STRESS IN NEURODEGENERATIVE DISORDERS                                                                                                                                        148.765                   34
ANTIMICROBIAL THERAPEUTICS REVIEWS: THE BACTERIAL CELL WALL AS AN ANTIMICROBIAL TARGET                                                                                                                  147.444                    9
REDOX-ACTIVE METALS IN NEUROLOGICAL DISORDERS                                                                                                                                                           144.667                   24
YEAR IN NEUROLOGY 2                                                                                                                                                                                     141.933                   15
EMBO JOURNAL                                                                                                                                                                                            140.413                19822
YEAR IN IMMUNOLOGY: MYELOID CELLS AND INFLAMMATION                                                                                                                                                      139.625                    8
GLUCOCORTICOIDS AND MOOD CLINICAL MANIFESTATIONS, RISK FACTORS, AND MOLECULAR MECHANISMS                                                                                                                139.615                   13
ECOLOGY LETTERS                                                                                                                                                                                         133.92                  3854
JOURNAL OF OPERATIONS MANAGEMENT                                                                                                                                                                        133.41                  2092
SOCIAL NEUROSCIENCE: GENE, ENVIRONMENT, BRAIN, BODY                                                                                                                                                     133.167                    6
GLUCOCORTICOID ACTION: BASIC AND CLINICAL IMPLICATIONS                                                                                                                                                  131.846                   13
YEAR IN IMMUNOLOGY 2                                                                                                                                                                                    129.294                   17
ALZHEIMERS DISEASE: A COMPENDIUM OF CURRENT THEORIES                                                                                                                                                    129                       11
YEAR IN DIABETES AND OBESITY                                                                                                                                                                            128.273                   44
JOURNAL OF ACCOUNTING & ECONOMICS                                                                                                                                                                       128.027                  258
ANNALS REPORTS, AUGUST 2014                                                                                                                                                                             124                        2
BIOLOGICAL REVIEWS                                                                                                                                                                                      123.588                 1919
ROLE OF NEURAL PLASTICITY IN CHEMICAL INTOLERANCE                                                                                                                                                       119.654                   26
YEAR IN EVOLUTIONARY BIOLOGY 2009                                                                                                                                                                       118.667                    9
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS                                                                                                                                                             118.352                  517
