/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
JOURNAL OF STRUCTURAL INTEGRITY AND MAINTENANCE                                                            34.6667                 3
JOURNAL OF BUSINESS & ECONOMIC STATISTICS                                                                  34.6667                30
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS                                                              34.2812                32
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE                                            34.24                 100
INTERNATIONAL JOURNAL OF INJURY CONTROL AND SAFETY PROMOTION                                               34.2                   10
CANCER INVESTIGATION                                                                                       34.1                   20
GEOGRAPHY                                                                                                  34                      1
CHILDHOOD IN THE PAST                                                                                      34                      1
JOURNAL OF LEGAL MEDICINE                                                                                  34                      1
JOURNAL OF SUBSTANCE USE                                                                                   34                     91
MARINE GEORESOURCES & GEOTECHNOLOGY                                                                        33.9123                57
INTERNATIONAL JOURNAL OF NEUROSCIENCE                                                                      33.8261                46
INTERNATIONAL JOURNAL OF REMOTE SENSING                                                                    33.7676               142
MATERIALS AND MANUFACTURING PROCESSES                                                                      33.5393                89
APPLIED EARTH SCIENCE-TRANSACTIONS OF THE INSTITUTIONS OF MINING AND METALLURGY                            33.5                    2
COASTAL MANAGEMENT                                                                                         33.4737                38
SMART SCIENCE                                                                                              33.4286                 7
JOURNAL OF INFORMATION AND TELECOMMUNICATION                                                               33.4                   10
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS                                                                33.4                    5
MYCOBIOLOGY                                                                                                33.3636                11
INTERNATIONAL JOURNAL OF GREEN ENERGY                                                                      33.3333                21
HOME HEALTH CARE SERVICES QUARTERLY                                                                        33.2                    5
NEW ZEALAND JOURNAL OF ZOOLOGY                                                                             33.1875                16
INTERNATIONAL JOURNAL OF AUDIOLOGY                                                                         33.1505                93
ATMOSPHERE-OCEAN                                                                                           33.0556                36
MYCOLOGIA                                                                                                  33.0469                64
CANADIAN JOURNAL OF RESPIRATORY CRITICAL CARE AND SLEEP MEDICINE                                           33                      9
LEUKOS                                                                                                     33                     10
COMBUSTION THEORY AND MODELLING                                                                            33                     16
COMMENTS ON INORGANIC CHEMISTRY                                                                            33                      3
AUSTRALIAN JOURNAL OF MECHANICAL ENGINEERING                                                               32.9545                22
SYSTEMS SCIENCE & CONTROL ENGINEERING                                                                      32.9333                15
ARCHITECTURAL SCIENCE REVIEW                                                                               32.8824                17
AUSTRALIAN JOURNAL OF STRUCTURAL ENGINEERING                                                               32.8                    5
COMPREHENSIVE CHILD AND ADOLESCENT NURSING-BUILDING EVIDENCE FOR PRACTICE                                  32.75                   4
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE                                                    32.7273                55
JOURNAL OF CONTEMPORARY EAST ASIA STUDIES                                                                  32.6667                 3
MEDICAL EDUCATION ONLINE                                                                                   32.4167                48
SYMBOLAE OSLOENSES                                                                                         32.4                    5
MARINE GEODESY                                                                                             32.2143                14
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY                                                                32.1739               391
COCHLEAR IMPLANTS INTERNATIONAL                                                                            32.1                   20
NEUROLOGICAL RESEARCH                                                                                      32.0923                65
JOURNAL OF PALESTINE STUDIES                                                                               31.9706                34
COMBUSTION SCIENCE AND TECHNOLOGY                                                                          31.8056                36
CARTOGRAPHIC JOURNAL                                                                                       31.7826                23
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING                                                 31.6667                72
HUMAN FERTILITY                                                                                            31.5                   20
ALEXANDRIA JOURNAL OF MEDICINE                                                                             31.5                   10
ARCHIVES OF ANIMAL NUTRITION                                                                               31.4762                21
NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH                                                               31.4348                23
LIQUID CRYSTALS                                                                                            31.1757               239
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT                                                                 31.1616                99
TRANSPORTATION PLANNING AND TECHNOLOGY                                                                     31.0741                27
LEUKEMIA & LYMPHOMA                                                                                        31.0122                82
JOURNAL OF LOCATION BASED SERVICES                                                                         31                      2
XENOBIOTICA                                                                                                30.7987               149
INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION                                             30.5833                12
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION                                                    30.5625                32
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION                                                             30.4286                 7
ENGINEERING ECONOMIST                                                                                      30.3333                 6
INTERNATIONAL JOURNAL OF ACAROLOGY                                                                         30.2174                46
SCANDINAVIAN ACTUARIAL JOURNAL                                                                             30.125                 32
RELIGIOUS EDUCATION                                                                                        30.0435                23
ASSISTIVE TECHNOLOGY                                                                                       30                     10
MEDICAL TEACHER                                                                                            29.7373               118
INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATION                                                  29.7097                31
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE                                                                   29.5185                81
SHIP TECHNOLOGY RESEARCH                                                                                   29.5                    4
CLINICAL AND INVESTIGATIVE ORTHODONTICS                                                                    29.5                    4
BRITISH POULTRY SCIENCE                                                                                    29.4872               117
SYNTHETIC COMMUNICATIONS                                                                                   29.3529                17
APPLICABLE ANALYSIS                                                                                        29.191                 89
BIOTECHNIC & HISTOCHEMISTRY                                                                                29.1212                66
INTERNATIONAL JOURNAL OF OPTOMECHATRONICS                                                                  29                      2
SOUTH AFRICAN JOURNAL OF CLINICAL NUTRITION                                                                28.8571                 7
ULTRASTRUCTURAL PATHOLOGY                                                                                  28.7692                65
AMERASIA JOURNAL                                                                                           28.75                   4
RESEARCH IN MATHEMATICS                                                                                    28.6667                 3
MACHINING SCIENCE AND TECHNOLOGY                                                                           28.6316                19
LOGOPEDICS PHONIATRICS VOCOLOGY                                                                            28.4286                14
TECHNOMETRICS                                                                                              28.2593                54
VEHICLE SYSTEM DYNAMICS                                                                                    28.0405                74
INTERNATIONAL JOURNAL OF FOREST ENGINEERING                                                                28                      5
INTERNATIONAL JOURNAL OF PARALLEL EMERGENT AND DISTRIBUTED SYSTEMS                                         28                      9
IISE TRANSACTIONS ON OCCUPATIONAL ERGONOMICS & HUMAN FACTORS                                               28                      1
NEW ZEALAND VETERINARY JOURNAL                                                                             28                     23
BLOOD PRESSURE                                                                                             27.8919                37
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS                                                   27.5238                21
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE                                                   27.4444                18
CANADIAN METALLURGICAL QUARTERLY                                                                           27.025                 40
NEW ZEALAND ENTOMOLOGIST                                                                                   27                      1
COMMUNICATION RESEARCH REPORTS                                                                             27                      7
IETE JOURNAL OF RESEARCH                                                                                   26.9291               127
AUTOMATIKA                                                                                                 26.8824                17
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS                                                                   26.8                   10
ACTA CARDIOLOGICA                                                                                          26.77                 100
INTERNATIONAL JOURNAL OF CONTROL                                                                           26.7357               227
ARAB JOURNAL OF UROLOGY                                                                                    26.7188                32
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE                                                      26.6667                18
TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING                                                           26.5246                61
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS                                                      26.4615                26
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING                                                     26.3446               148
ENGLISH STUDIES IN AFRICA                                                                                  26.1538                13
PSYCHOANALYSIS SELF AND CONTEXT                                                                            26.1111                 9
MATHEMATICAL POPULATION STUDIES                                                                            26.0952                21
IETE TECHNICAL REVIEW                                                                                      26.0196                51
WORLD FEDERATION OF OCCUPATIONAL THERAPISTS BULLETIN                                                       26                      4
TRAFFIC INJURY PREVENTION                                                                                  25.9556               180
JOURNAL OF MATHEMATICS AND MUSIC                                                                           25.8571                14
AUSTRALIAN JOURNAL OF FORENSIC SCIENCES                                                                    25.7742                31
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS                                                           25.75                  12
JOURNAL FOR PEACE AND NUCLEAR DISARMAMENT                                                                  25.6667                 9
MATERIALS AT HIGH TEMPERATURES                                                                             25.4828                29
NONDESTRUCTIVE TESTING AND EVALUATION                                                                      25.4444                 9
NUCLEAR SCIENCE AND ENGINEERING                                                                            25.0943                53
Issues in Mental Health Nursing                                                                            25                      1
CONTEMPORARY THEATRE REVIEW                                                                                25                     17
IMAGING SCIENCE JOURNAL                                                                                    24.6944                36
INDIAN CHEMICAL ENGINEER                                                                                   24.6667                 3
MOLECULAR CRYSTALS AND LIQUID CRYSTALS                                                                     24.2091               110
Econometric Reviews                                                                                        24                      1
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS                                                              23.9176                85
ORBIT-THE INTERNATIONAL JOURNAL ON ORBITAL DISORDERS-OCULOPLASTIC AND LACRIMAL SURGERY                     23.76                  25
INTEGRATED FERROELECTRICS                                                                                  23.5672                67
JOURNAL OF GEOGRAPHY                                                                                       23.5385                13
JOURNAL OF ARCHITECTURAL EDUCATION                                                                         23.2683                41
INSTRUMENTATION SCIENCE & TECHNOLOGY                                                                       23.25                  28
JOURNAL OF INTERPROFESSIONAL CARE                                                                          23.2308                26
NUCLEAR TECHNOLOGY                                                                                         23.0385                78
RMS-RESEARCH IN MATHEMATICS & STATISTICS                                                                   23                      1
ASIA PACIFIC JOURNAL OF COUNSELLING AND PSYCHOTHERAPY                                                      23                      1
BRITISH JOURNAL OF NEUROSURGERY                                                                            22.7755               147
ACTA CHIRURGICA BELGICA                                                                                    22.1389                36
INFECTIOUS DISEASES                                                                                        22.0606                33
INTERNATIONAL JOURNAL OF CAST METALS RESEARCH                                                              21.9286                28
MATERIALS SCIENCE AND TECHNOLOGY                                                                           21.6241               141
IRONMAKING & STEELMAKING                                                                                   21.2286                35
STATISTICAL THEORY AND RELATED FIELDS                                                                      20.6667                 6
ZOOLOGY IN THE MIDDLE EAST                                                                                 20.6                   15
CLINICAL TOXICOLOGY                                                                                        20.3226                31
MITOCHONDRIAL DNA PART A                                                                                   20.2553                47
TRIBOLOGY TRANSACTIONS                                                                                     19.8739               111
NATURAL PRODUCT RESEARCH                                                                                   19.7317               123
PERFORMANCE RESEARCH                                                                                       19.6667                27
MULTICULTURAL PERSPECTIVES                                                                                 19.5                    2
JOURNAL OF AESTHETICS & CULTURE                                                                            19                      4
INTERNATIONAL JOURNAL OF VENTILATION                                                                       19                      1
COMMUNICATIONS IN ALGEBRA                                                                                  18.7321                56
TECHNOLOGY-ARCHITECTURE + DESIGN                                                                           18.5                    2
LINEAR & MULTILINEAR ALGEBRA                                                                               18.3084               107
NEURO-OPHTHALMOLOGY                                                                                        18.16                  50
AQUATIC INSECTS                                                                                            18.0833                24
MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES                                                           17.5775                71
JOURNAL OF PAIN & PALLIATIVE CARE PHARMACOTHERAPY                                                          17.5556                 9
INTERNATIONAL JOURNAL OF ELECTRONICS                                                                       17.3114               167
PSYCHOLOGICAL PERSPECTIVES-A QUARTERLY JOURNAL OF JUNGIAN THOUGHT                                          15.6                    5
NANOSCALE AND MICROSCALE THERMOPHYSICAL ENGINEERING                                                        15.3333                 3
ACTA OTO-LARYNGOLOGICA CASE REPORTS                                                                        14.6667                 3
RESEARCH-TECHNOLOGY MANAGEMENT                                                                             14.4691                81
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS                                                                  14.087                 46
BRITISH JOURNAL FOR THE HISTORY OF MATHEMATICS                                                             14                      1
COMMUNICATION TEACHER                                                                                      12.875                 16
LIQUID CRYSTALS TODAY                                                                                      12                      1
ETHICS & GLOBAL POLITICS                                                                                   12                      2
MOLECULAR & CELLULAR ONCOLOGY                                                                              11.9474                19
MITOCHONDRIAL DNA PART B-RESOURCES                                                                         11.4                  285
CASE REPORTS IN PLASTIC SURGERY AND HAND SURGERY                                                           11                      1
JOURNAL OF VISUAL COMMUNICATION IN MEDICINE                                                                10.5                    4
INFORMATION SYSTEMS MANAGEMENT                                                                              5.83333               24

AVERAGE CITATIONS PER DOCUMENT TYPE
Document Type                       Ave. Citations    No. of Papers
--------------------------------  ----------------  ---------------
Review                                   85.2208                924
Review; Early Access                     82.6769                 65
Item About an Individual                 67                       1
Article; Retracted Publication           50.7143                  7
Article; Early Access                    49.6508                905
Article; Data Paper                      40.3333                  3
Article                                  38.0981              15920
Reprint                                  34.5                     2
Article; Proceedings Paper               29.0916                491
Editorial Material                       13.4333                210
Editorial Material; Early Access         13.125                   8
Note                                     13.0588                 34
Letter                                   10.3429                 35
Letter; Early Access                      4.5                     2
Correction                                3.81818                11
Book Review                               1.66667                 3
Correction; Early Access                  1                       3
Retraction                                1                       1
Retraction; Early Access                  0.666667                3
News Item                                 0.5                     2
Theater Review                            0                       1

AVERAGE CITATIONS PER PUBLISHER
Publisher                                                  Ave. Citations    No. of Papers
-------------------------------------------------------  ----------------  ---------------
MATRICE TECHNOLOGY LIMITED                                      134                      1
TAYLOR & FRANCIS AUSTRALIA                                       69.6818                22
CAMBRIDGE UNIV PRESS                                             64                     26
NATL ASSOC SCHOOL PSYCHOLOGISTS                                  61.1818                11
TAYLOR & FRANCIS AUSTRALASIA                                     60.25                   4
V H WINSTON & SON INC                                            58.6                   10
JAI PRESS INC                                                    57.6154                13
ELSEVIER SCI LTD                                                 55.7879                33
AMER SOC MICROBIOLOGY                                            54.2596               624
GORDON BREACH PUBLISHING, TAYLOR & FRANCIS GROUP                 54                      5
BLACKWELL PUBLISHERS                                             51.8                    5
AMER REAL ESTATE SOC                                             51                      1
TAYLOR & FRANCIS AS                                              50.9118              1043
WILEY                                                            50.1224                49
BUTTERWORTH-HEINEMANN LTD                                        49.3                   10
EWHA WOMANS UNIV PRESS                                           47                      1
UNIV TORONTO PRESS INC                                           46                      2
INDIAN CERAMIC SOC                                               45.5714                14
DUKE UNIV PRESS                                                  45.56                  25
ASSOC ADVANCEMENT APPLIED SPORT PSYCHOLOGY                       45.5                    2
TAYLOR & FRANCIS INC                                             45.1347              4810
WILEY-BLACKWELL PUBLISHING, INC                                  44.5                    8
LAWRENCE ERLBAUM ASSOC INC                                       42.5                    2
PRESSES UNIV QUEBEC                                              42.5                    2
BLACKWELL SCIENCE ASIA                                           41.7143                 7
NATL INQUIRY SERVICES CENTRE PTY LTD                             41.5263                19
PSYCHOANALYTIC QUARTERLY,INC                                     41                      3
INST ARCTIC ALPINE RES                                           40.7576                33
ACTA CARDIOLOGICA                                                40                      2
TAYLOR & FRANCIS LTD                                             39.8439              9550
FRESHWATER BIOLOGICAL ASSOC                                      39                      3
AUSTRALIAN PSYCHOLOGICAL SOC                                     38.8125                16
WILEY-BLACKWELL                                                  38.7736                53
UNIV CALIF PRESS                                                 37.3684                19
VICTORIA UNIV PRESS                                              37                      1
INTERNATIONAL ASSOCIATION CIRCUMPOLAR HEALTH PUBLISHERS          36.2                    5
JAMES & JAMES SCIENCE PUBLISHERS LTD/EARTHSCAN                   36                      2
VICTORIA UNIV WELLINGTON                                         35.8889                 9
INST FORESTERS AUSTRALIA                                         35.5                    2
AUSTRALIAN PSYCHOL SOC                                           35.3333                 6
ROYAL SOC MEDICINE PRESS LTD                                     35.3333                 3
KOREAN SOC MYCOLOGY                                              34.3333                 3
BLACKWELL PUBLISHING ASIA                                        34                      2
ROYAL SOC SOUTH AUSTRALIA INC                                    33.5                    2
CANADIAN METEOROLOGICAL OCEANOGRAPHIC SOC                        32.6154                13
J ROSS PUBL                                                      32.3333                 3
UNIV CALIFORNIA PRESS                                            32.3                   20
BLACKWELL SCIENCE                                                32.1053                19
BLACKWELL PUBLISHING INC                                         32                      1
INT SCIENCE SERVICES/BALABAN PUBLISHERS                          31.3571                14
RSNZ PUBLISHING                                                  31.1667                12
CMOS-SCMO                                                        30.8667                15
CAIRO UNIV                                                       30.8                    5
LANDES BIOSCIENCE                                                30.7541               122
HEMISPHERE PUBL CORP                                             30.0508                59
BRITISH TRUST ORNITHOLOGY                                        28.7368                19
BLACKWELL SCIENCE LTD                                            28.1613                31
I P PUBLISHING LTD                                               28                      1
INST PSYCHO-ANALYSIS                                             28                      2
TAYLOR & FRANCIS                                                 27.8103                58
AUSTRALIAN ARCHAEOLOGICAL ASSOC INC                              27.6667                 6
ROYAL NETHERLANDS VETERINARY ASSOC                               27.6667                 6
PALGRAVE MACMILLAN LTD                                           27.3837                86
AMER STATISTICAL ASSOC                                           27.234                 47
CASTINGS TECHNOLOGY INT                                          27                      1
SCANDINAVIAN UNIVERSITY PRESS                                    26.5357                28
M I T PRESS                                                      26.5                    6
NISC PTY LTD                                                     26.5                    2
INFORMA HEALTHCARE                                               26.4524               294
MARCEL DEKKER INC                                                26.25                  36
SAGE PUBLICATIONS LTD                                            26                      2
ILLUMINAT ENG SOC NORTH AMER                                     26                      2
CANADIAN METEOR & OCEANOGR SOC                                   25.5                    2
SIR PUBLISHING                                                   25.3947                38
IOP PUBLISHING LTD                                               25.125                  8
NEW YORK BOTANICAL GARDEN                                        25.125                 16
FOREFRONT PUBL GROUP                                             24.9167                12
BLACKWELL PUBLISHING                                             24.8                   10
CRC PRESS LLC                                                    24.4                    5
SOC BOTANIQUE FRANCE                                             24                      1
TAYLOR & FRANCIS LTD LONDON                                      23.8243                74
WILLIAMS & WILKINS                                               23.7273                11
SA MEDICAL ASSOC HEALTH & MEDICAL PUBL GROUP                     23.6667                 3
ARAB ASSOC UROLOGY                                               23.5714                14
INST MATERIALS                                                   22.7746                71
CARFAX PUBLISHING                                                22.2838                74
EXPERT REVIEWS                                                   22                      1
NATL COUNCIL GEOGRAPHIC EDUCATION                                21.8333                12
THOMAS LAND PUBLISHERS, INC                                      21.7143                 7
AEOLUS PRESS                                                     21.1176                17
R E S N A PRESS                                                  21                      2
MUNKSGAARD INT PUBL LTD                                          21                      3
CARFAX PUBL CO                                                   20.4035                57
AMER NUCLEAR SOC                                                 20.2424                33
PALGRAVE PUBLISHERS LTD                                          20.2308                26
GORDON BREACH SCI PUBL LTD                                       20.1                   30
AMHERST SCIENTIFIC PUBL                                          20                      1
KLUWER ACADEMIC PUBL                                             20                      9
SWETS ZEITLINGER PUBLISHERS                                      19.8358                67
ACTA MEDICAL BELGICA                                             19.55                  20
CANADIAN AERONAUTICS SPACE INST                                  19                      8
CANADIAN WATER RESOURCES ASSOC-CWRA                              19                      1
INT ASSOC CIRCUMPOLAR HEALTH PUBL                                19                      1
SCIENCE REVIEWS 2000 LTD                                         19                      2
SAPIENS PUBLISHING                                               19                      1
MANEY PUBLISHING                                                 18.9072                97
NEW ZEALAND VETERINARY ASSOC INC                                 18.9                   10
KOREMA                                                           18.8571                 7
ALLEN PRESS INC                                                  18.8333                 6
AMER STATIST ASSN                                                18.75                   4
PERGAMON-ELSEVIER SCIENCE LTD                                    18.5                    4
NATURE PUBLISHING GROUP                                          18.4286                 7
BRUNNER/MAZEL INC                                                18.1667                 6
WORLD VETERINARY POULTRY ASSN                                    18                      3
B C DECKER INC                                                   18                      1
WORLD SCIENTIFIC PUBL CO PTE LTD                                 17.6667                 3
DIAGNOSIS PRESS LTD                                              17.3571                14
AMER NUCLEAR SOCIETY                                             17.34                  50
INST METAL FINISHING                                             17.1111                18
HARWOOD ACAD PUBL GMBH                                           17                     22
I O M COMMUNICATIONS LTD INST MATERIALS                          16.9167                12
SWETS ZEITLINGER BV                                              16.5714                14
STOCKTON PRESS                                                   16.3953                43
B I O S SCIENTIFIC PUBLISHERS LTD                                16                      3
FUTURE SCI LTD                                                   15.6667                 3
INDUSTRIAL RESEARCH INST, INC                                    15.6429                28
CARTOGRAPHY & GEOGRAPHIC INFOR SOC                               15.5                    2
WOODHEAD PUBL LIMITED                                            15                      4
SOC TRIBOLOGISTS & LUBRICATION ENGINEERS                         14.8511                47
ARCHITECTURAL INST JAPAN                                         14.566                 53
ABLEX PUBL CORP                                                  14.5                    2
EIANZ-ENVIRONMENT INST AUSTRALIA & NEW ZEALAND                   14                      1
CRC PRESS INC                                                    13.7778                18
ISIS MEDICAL MEDIA LTD                                           13.6364                11
PROFESSIONAL ENGINEERING PUBLISHING LTD                          13.5                    2
CASTINGS DEVELOPMENT CENTRE                                      13                      5
INDIRA PUBLISHING HOUSE                                          12.5                    6
CABI PUBLISHING                                                  12                      1
LIPPINCOTT WILLIAMS & WILKINS                                    11                      3
MARTIN DUNITZ LTD                                                10.5                    2
AEOLUS PRESS MEDICAL PUBL                                         9.33333                3
PARTHENON PUBLISHING GROUP                                        8                      2
INDUSTRIAL RESEARCH INST INC                                      7.55263               38
ROYAL PHOTOGRAPHIC SOC                                            7.5                    2
INST ELECTRONICS TELECOMMUNICATION ENGINEERS                      6.17857               28
INST ELECTR TELECOMMUN ENGRS                                      6.125                  8
BRITISH CARTOGRAPHIC SOC                                          6                      1
AUERBACH PUBLICATIONS                                             4.47826               23
INDUSTRIAL RESEARCH INSTITUTE, INC                                1                      2
BELLWETHER PUBL LTD                                               0                      1
EARTHSCAN                                                         0                      1

AVERAGE CITATIONS PER PUBLISHER CITY
Publisher City             Ave. Citations  Publishers
-----------------------  ----------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
POULTON                         134        ['MATRICE TECHNOLOGY LIMITED']
MELBOURNE                        66.2222   ['EIANZ-ENVIRONMENT INST AUSTRALIA & NEW ZEALAND', 'TAYLOR & FRANCIS AUSTRALIA', 'TAYLOR & FRANCIS AUSTRALASIA']
BETHESDA                         61.1818   ['NATL ASSOC SCHOOL PSYCHOLOGISTS']
PALM BEACH                       58.6      ['V H WINSTON & SON INC']
GREENWICH                        57.6154   ['JAI PRESS INC']
CAMBRIDGE                        56.9688   ['CAMBRIDGE UNIV PRESS', 'M I T PRESS']
WASHINGTON                       51.5785   ['AMER SOC MICROBIOLOGY', 'INDUSTRIAL RESEARCH INST INC']
CLEMSON                          51        ['AMER REAL ESTATE SOC']
OSLO                             50.2745   ['TAYLOR & FRANCIS AS', 'SCANDINAVIAN UNIVERSITY PRESS']
SEOUL                            47        ['EWHA WOMANS UNIV PRESS']
TORONTO                          46        ['UNIV TORONTO PRESS INC']
HOBOKEN                          45.6706   ['WILEY', 'WILEY-BLACKWELL']
KOLKATA                          45.5714   ['INDIAN CERAMIC SOC']
DURHAM                           45.56     ['DUKE UNIV PRESS']
PHILADELPHIA                     45.1227   ['TAYLOR & FRANCIS INC', 'LIPPINCOTT WILLIAMS & WILKINS', 'GORDON BREACH PUBLISHING, TAYLOR & FRANCIS GROUP']
OAKLAND                          43.8333   ['UNIV CALIFORNIA PRESS']
MAHWAH                           42.5      ['LAWRENCE ERLBAUM ASSOC INC']
ST FOY                           42.5      ['PRESSES UNIV QUEBEC']
MALDEN                           41.1613   ['WILEY-BLACKWELL', 'BLACKWELL PUBLISHERS', 'WILEY-BLACKWELL PUBLISHING, INC', 'BLACKWELL PUBLISHING INC']
LAFAYETTE                        41        ['ASSOC ADVANCEMENT APPLIED SPORT PSYCHOLOGY']
LOS ALTOS                        41        ['PSYCHOANALYTIC QUARTERLY,INC']
BOULDER                          40.7576   ['INST ARCTIC ALPINE RES']
ABINGDON                         40.7385   ['TAYLOR & FRANCIS LTD', 'CARFAX PUBL CO']
GRAHAMSTOWN                      40.0952   ['NATL INQUIRY SERVICES CENTRE PTY LTD', 'NISC PTY LTD']
AMBLESIDE                        39        ['FRESHWATER BIOLOGICAL ASSOC']
OXFORD                           36.5392   ['ELSEVIER SCI LTD', 'BLACKWELL PUBLISHING', 'BLACKWELL SCIENCE LTD', 'B I O S SCIENTIFIC PUBLISHERS LTD', 'PERGAMON-ELSEVIER SCIENCE LTD', 'BUTTERWORTH-HEINEMANN LTD', 'ISIS MEDICAL MEDIA LTD']
CARLTON                          36.06     ['AUSTRALIAN PSYCHOLOGICAL SOC', 'AUSTRALIAN PSYCHOL SOC', 'BLACKWELL SCIENCE', 'BLACKWELL PUBLISHING ASIA', 'BLACKWELL SCIENCE ASIA']
YARRALUMLA                       35.5      ['INST FORESTERS AUSTRALIA']
GEORGETOWN                       34.9167   ['LANDES BIOSCIENCE']
ANAM-DEONG, SEONGBUK-GU          34.3333   ['KOREAN SOC MYCOLOGY']
KANATA                           33.6667   ['CANADIAN AERONAUTICS SPACE INST']
ADELAIDE                         33.5      ['ROYAL SOC SOUTH AUSTRALIA INC']
OULU                             33.3333   ['INTERNATIONAL ASSOCIATION CIRCUMPOLAR HEALTH PUBLISHERS', 'INT ASSOC CIRCUMPOLAR HEALTH PUBL']
FORT LAUDERDALE                  32.3333   ['J ROSS PUBL']
REHOVOT                          31.3571   ['INT SCIENCE SERVICES/BALABAN PUBLISHERS']
GIZA                             30.8      ['CAIRO UNIV']
BERKELEY                         30.7407   ['UNIV CALIF PRESS', 'UNIV CALIFORNIA PRESS']
AUSTIN                           29.7347   ['LANDES BIOSCIENCE']
THETFORD NORFOLK                 28.7368   ['BRITISH TRUST ORNITHOLOGY']
BRISTOL                          28.2137   ['TAYLOR & FRANCIS', 'HEMISPHERE PUBL CORP', 'BRUNNER/MAZEL INC', 'IOP PUBLISHING LTD']
OTTAWA                           28.1471   ['CMOS-SCMO', 'CANADIAN METEOROLOGICAL OCEANOGRAPHIC SOC', 'CANADIAN AERONAUTICS SPACE INST', 'CANADIAN WATER RESOURCES ASSOC-CWRA']
BRISBANE                         27.6667   ['AUSTRALIAN ARCHAEOLOGICAL ASSOC INC']
UTRECHT                          27.6667   ['ROYAL NETHERLANDS VETERINARY ASSOC']
WELLINGTON                       26.9714   ['RSNZ PUBLISHING', 'SIR PUBLISHING', 'NEW ZEALAND VETERINARY ASSOC INC', 'VICTORIA UNIV WELLINGTON', 'VICTORIA UNIV PRESS']
ALEXANDRIA                       26.5686   ['AMER STATISTICAL ASSOC', 'AMER STATIST ASSN']
ONTARIO                          25.5      ['CANADIAN METEOR & OCEANOGR SOC']
BRONX                            25.125    ['NEW YORK BOTANICAL GARDEN']
NEW YORK                         24.5402   ['INFORMA HEALTHCARE', 'MARCEL DEKKER INC', 'ILLUMINAT ENG SOC NORTH AMER']
LONDON                           24.147    ['I P PUBLISHING LTD', 'SAGE PUBLICATIONS LTD', 'INFORMA HEALTHCARE', 'TAYLOR & FRANCIS LTD', 'FUTURE SCI LTD', 'JAMES & JAMES SCIENCE PUBLISHERS LTD/EARTHSCAN', 'TAYLOR & FRANCIS LTD LONDON', 'ROYAL SOC MEDICINE PRESS LTD', 'EARTHSCAN', 'INST MATERIALS', 'I O M COMMUNICATIONS LTD INST MATERIALS', 'EXPERT REVIEWS', 'INST PSYCHO-ANALYSIS', 'ASSOC ADVANCEMENT APPLIED SPORT PSYCHOLOGY', 'MARTIN DUNITZ LTD', 'FOREFRONT PUBL GROUP']
LILLE-CEDEX                      24        ['SOC BOTANIQUE FRANCE']
BALTIMORE                        23.7273   ['WILLIAMS & WILKINS']
CLAREMONT                        23.6667   ['SA MEDICAL ASSOC HEALTH & MEDICAL PUBL GROUP']
MANSOURA                         23.5714   ['ARAB ASSOC UROLOGY']
BASINGSTOKE                      22.7288   ['CARFAX PUBLISHING', 'NATURE PUBLISHING GROUP', 'PALGRAVE PUBLISHERS LTD', 'PALGRAVE MACMILLAN LTD', 'STOCKTON PRESS']
WILTON                           22.4      ['FOREFRONT PUBL GROUP']
INDIANA                          21.8333   ['NATL COUNCIL GEOGRAPHIC EDUCATION']
ST LOUIS                         21.7143   ['THOMAS LAND PUBLISHERS, INC']
BRUSSELS                         21.4091   ['ACTA CARDIOLOGICA', 'ACTA MEDICAL BELGICA']
